X,Y_Smoothed
-15.0,712.5011402508071
-14.5,698.9355149198974
-14.0,682.8916650139167
-13.5,665.1050717189257
-13.0,632.5528873484508
-12.5,595.8683292371437
-12.0,555.832234992347
-11.5,513.1253173528669
-11.0,470.6694801904277
-10.5,429.38756666734696
-10.0,389.86244399970843
-9.5,352.7079643626239
-9.0,318.07226413376094
-8.5,285.6988427527697
-8.0,255.20792781801745
-7.5,226.25626847020408
-7.0,198.67400453069973
-6.5,172.53690185755104
-6.0,147.87971503985423
-5.5,124.79877546705539
-5.0,103.77454583099124
-4.5,85.4134161309621
-4.0,70.20495321332362
-3.5,58.464259107201165
-3.0,50.29574408233237
-2.5,45.728253431982516
-2.0,44.557955179125365
-1.5,46.29297760247813
-1.0,50.248842544548104
-0.5,55.7478393203207
0.0,62.14806389174927
0.5,68.86882650833819
1.0,75.44065989886296
1.5,81.73867602798835
2.0,87.6507451898834
2.5,93.30608675830904
3.0,99.08693814661808
3.5,105.55348028195336
4.0,113.47757533119534
4.5,123.58623331956268
5.0,136.32264257148688
5.5,152.38119779250727
6.0,172.24386771883383
6.5,195.95745046976677
7.0,223.26327787451893
7.5,253.58038838746353
8.0,286.360253096793
8.5,321.20720750903786
9.0,357.4629377244898
9.5,394.58892141486876
10.0,432.3267861279883
10.5,470.6191784069971
11.0,509.16788247643336
11.5,547.5684693286103
12.0,585.302210918688
12.5,620.186597761048
13.0,651.9843076309469
13.5,680.3180302633643
14.0,695.7554987678026
14.5,709.6775914959888
15.0,721.5258977169418
