X,Y_Smoothed
-15.0,739.777156358631
-14.5,723.3144275240477
-14.0,703.9717531748016
-13.5,682.9412239457484
-13.0,644.6730135962586
-12.5,602.6724154840136
-12.0,558.3855119489796
-11.5,511.9118657653061
-11.0,466.522520744898
-10.5,423.7190934612245
-10.0,383.99280046938776
-9.5,347.4821534591837
-9.0,313.699020822449
-8.5,281.7096532755102
-8.0,251.8305083057143
-7.5,224.0726191428571
-7.0,197.10514379428568
-6.5,170.55639592612246
-6.0,144.82053802448982
-5.5,120.62317324591837
-5.0,98.7499345634694
-4.5,79.23020058183674
-4.0,62.50604213326532
-3.5,49.93553634183673
-3.0,42.028488025918364
-2.5,38.361297601020404
-2.0,38.43831450306123
-1.5,41.570329389387766
-1.0,47.25776602938776
-0.5,54.3139543632653
0.0,62.08069330530612
0.5,69.71954262040816
1.0,76.85427503142857
1.5,83.23988650306123
2.0,88.6156677055102
2.5,93.26059976306122
3.0,98.40006726714284
3.5,103.46517743857143
4.0,109.30693359938776
4.5,117.32023474959183
5.0,128.50568145040816
5.5,144.0843330502041
6.0,164.02120568163267
6.5,187.55493203061224
7.0,215.87506398571426
7.5,248.34562308367344
8.0,283.3153140061224
8.5,319.64647328367346
9.0,356.30410664081637
9.5,393.48025864693875
10.0,431.48361291632654
10.5,469.66517549387754
11.0,508.2275089163265
11.5,547.4803669979592
12.0,587.6932192367346
12.5,626.1450351268707
13.0,662.2843666121769
13.5,695.6198040468707
14.0,713.8558833903968
14.5,730.811478005619
15.0,745.8164254248809
